a,1=工
sffn,1=樗
sfg,1=杜
sfg,2=柑
sfgy,1=甄
sfh,1=杆
sfhg,1=植
sfhn,1=樾
sfi,1=标
sfij,1=剽
sfir,1=飘
sfiu,1=柰
sfiy,1=瓢
sfk,1=桔
sfl,1=檑
sfm,1=楠
sfn,1=椟
sft,1=材
sftj,1=楮
sftn,1=栲
sftx,1=栳
sfu,1=樯
sfw,1=棱
sfy,1=村
sg,1=本
sga,1=栈
sgag,1=醛
sgaj,1=醋
sgb,1=酏
sgc,1=酸
sgcf,1=桎
sgd,1=酉
sgde,1=醐
sgdg,1=酤
sgdl,1=醢
sgdy,1=酞
sge,1=酹
sgf,1=酣
sgfb,1=酵
sgfc,1=酝
sgfh,1=酐
sgfy,1=酎
sgg,1=枉
sggt,1=酽
sggy,1=酾
sgh,1=丁
sghe,1=醵
sghg,1=西
sghy,1=甫
sgj,1=醒
sgjg,1=桓
sgjh,1=醍
sgjr,1=梗
sgjx,1=醌
sgk,1=梧
sgkg,1=酲
sgm,1=槽
sgmk,1=酮
sgmu,1=醴
sgmw,1=柄
sgn,1=配
sgne,1=醪
sgne,2=醑
sgnn,1=朽
sgo,1=醚
sgog,1=桠
sgog,2=醭
sgok,1=醣
sgp,1=酡
sgq,1=酌
sgqk,1=酩
sgqn,1=杌
sgr,1=酗
sgs,1=酊
sgt,1=酷
sgtf,1=酢
sgtk,1=酪
sgto,1=醺
sgtq,1=酰
sgtx,1=酶
sgty,1=酥
sgu,1=枰
sguk,1=醅
sgw,1=酚
sgwo,1=醮
sgws,1=酴
sgx,1=酯
sgy,1=酬
sgyb,1=醇
sgyf,1=醉
sgyl,1=醯
sgyv,1=酿
sh,1=相
shi,1=椒
shj,1=棹
shm,1=桢
shn,1=想
shnt,1=栌
shy,1=朴
si,1=档
sie,1=梢
sig,1=榉
sigq,1=桄
sii,1=桫
sip,1=樘
sit,1=杪
sj,1=查
sjf,1=杳
sjj,1=覃
sjn,1=榻
sjs,1=棵
sjt,1=槛
sjtq,1=榄
sjx,1=棍
sk,1=可
skb,1=楫
skd,1=束
skf,1=杏
skg,1=枵
skj,1=剌
skk,1=榀
skp,1=速
skq,1=赖
sks,1=歌
sksk,1=哥
skt,1=整
skty,1=敕
skw,1=枳
sl,1=柬
slh,1=柙
slq,1=椤
sly,1=楞
sm,1=贾
smg,1=柚
smgk,1=桐
smj,1=刺
smm,1=樱
smmg,1=栅
smn,1=桤
smq,1=枧
sms,1=棘
smuu,1=枣
smw,1=枘
sn,1=札
snb,1=橄
snd,1=椐
sng,1=栩
snh,1=楣
sni,1=樨
snie,1=榍
snn,1=杞
snr,1=杨
so,1=杰
sof,1=桩
sou,1=粟
sov,1=楼
sp,1=枕
spf,1=棕
spg,1=楦
spi,1=逋
spn,1=棺
spr,1=槟
sps,1=柠
spv,1=桉
spw,1=榨
spwi,1=檫
spwk,1=榕
spwy,1=榷
spx,1=柁
sq,1=构
sqa,1=柢
sqd,1=桅
sqdy,1=檐
sqe,1=桷
sqef,1=槲
sqg,1=橹
sqi,1=桃
sqk,1=橡
sqkg,1=枸
sqt,1=柳
sqy,1=榴
sqyy,1=杓
sr,1=析
src,1=板
srd,1=槔
srg,1=柏
srgb,1=栀
srm,1=棉
srq,1=槐
srr,1=攀
srrd,1=樊
srrf,1=皙
sry,1=檄
sryy,1=柝
ss,1=林
ssb,1=郴
sse,1=彬
ssf,1=禁
ssg,1=栖
ssj,1=楂
ssk,1=柯
ssl,1=楝
ssn,1=楚
sso,1=焚
ssox,1=麓
ssq,1=梦
sss,1=森
ssss,1=木
ssu,1=栗
ssv,1=婪
ssw,1=梵
sswv,1=棼
st,1=枚
sta,1=枨
std,1=桥
stdg,1=栝
stf,1=株
stfh,1=杵
stfk,1=梏
stfp,1=梃
stg,1=桁
stgf,1=棰
sth,1=柞
sthc,1=椴
stk,1=格
stm,1=榭
stn,1=槌
stni,1=栎
sto,1=楸
stt,1=覆
stx,1=梅
su,1=样
sua,1=槎
sud,1=栏
suh,1=梓
suj,1=樟
suk,1=榈
sur,1=校
sus,1=樽
susy,1=榇
sux,1=梯
sv,1=根
sva,1=概
svg,1=楗
svi,1=棣
svo,1=棂
sw,1=机
swb,1=枪
swc,1=松
swf,1=桧
swg,1=检
swgg,1=栓
swgj,1=榆
swgu,1=橙
swr,1=枫
sww,1=枞
swwo,1=麴
swx,1=桦
swy,1=椎
swyc,1=檎
swyc,2=柃
swyf,1=榫
swyo,1=樵
sx,1=楷
sxe,1=椽
sxxe,1=橼
sxxn,1=枇
sy,1=术
syb,1=椁
syc,1=梳
syf,1=槠
syg,1=柱
syiy,1=椋
syk,1=榱
syl,1=檀
syli,1=檩
sym,1=柿
symk,1=槁
syn,1=核
syp,1=述
syt,1=枋
syty,1=敷
syu,1=榜
syv,1=榔
syw,1=杭
t,1=和
ta,1=长
tab,1=筇
tad,1=箬
tag,1=筐
tagd,1=箧
tah,1=篚
tak,1=升
takf,1=笸
tam,1=簧
tamf,1=篝
taq,1=簪
tav,1=乇
tavt,1=彻
taw,1=筑
taww,1=筮
tb,1=秀
tbf,1=季
tbp,1=透
tbpv,1=迤
tby,1=彼
tbyu,1=笈
tc,1=么
tca,1=径
tcb,1=笆
tcg,1=笃
tck,1=笞
tcy,1=私
td,1=知
tda,1=矩
tdas,1=榘
tdd,1=舌
tdf,1=甜
tdg,1=短
tdgk,1=箴
tdgn,1=舔
tdh,1=逢
tdi,1=夭
tdj,1=乔
tdjh,1=刮
tdkj,1=智
tdm,1=岙
tdn,1=乱
tdnj,1=稽
tdnm,1=嵇
tdp,1=适
tdq,1=舐
tdqg,1=鸹
tdt,1=敌
tdtf,1=筹
tdtj,1=矫
tdtn,1=憩
tdtv,1=矮
tdu,1=矢
tduh,1=辞
tdw,1=箕
tdwb,1=簸
tdwf,1=矬
tdwy,1=雉
tdx,1=笼
tdxh,1=矧
te,1=务
teb,1=笔
tebg,1=稃
tee,1=稻
teer,1=筋
teg,1=租
tegg,1=徂
tek,1=笳
tep,1=笾
tet,1=徭
tf,1=等
tfb,1=缺
tfba,1=缸
tfbf,1=罅
tfbh,1=邾
tfbk,1=缶
tfby,1=罐
tfc,1=丢
tfd,1=壬
tfe,1=歃
tff,1=竺
tffs,1=街
tffy,1=待
tfh,1=秆
tfhw,1=稹
tfhy,1=徒
tfi,1=朱
tfj,1=午
tfj,2=竿
tfk,1=千
tfkb,1=郜
tfkd,1=靠
tfkf,1=告
tfkg,1=秸
tfkg,2=鹄
tfkp,1=造
tfl,1=德
tfp,1=迁
tfpd,1=廷
tfpk,1=迕
tfq,1=先
tfqm,1=赞
tfqp,1=选
tfqu,1=筠
tfs,1=籍
tft,1=箸
tfu,1=乖
tfuk,1=穑
tg,1=年
tga,1=笺
tgaf,1=垂
tgaj,1=笄
tgd,1=生
tge,1=箐
tgf,1=竽
tgh,1=征
tghb,1=卸
tghf,1=眚
tghn,1=惩
tgi,1=失
tgjf,1=重
tgjn,1=穗
tgjr,1=筻
tgk,1=牛
tgks,1=衙
tgl,1=舞
tgle,1=甥
tglo,1=熏
tgm,1=制
tgmr,1=掣
tgmu,1=箦
tgp,1=迭
tgpk,1=逄
tgs,1=行
tgsy,1=秣
tgu,1=秤
tgus,1=徕
th,1=处
tha,1=算
thd,1=自
thdc,1=段
thdc,2=篡
thdd,1=徘
thdi,1=纂
thdu,1=臭
thf,1=乍
thfn,1=怎
thfp,1=迮
thg,1=片
thgc,1=版
thgd,1=牍
thgf,1=牌
thgs,1=牒
thgs,2=牖
thh,1=衢
thhy,1=徙
thj,1=昝
thk,1=咎
thl,1=鼻
thlf,1=鼾
thlg,1=齄
thlj,1=劓
thlv,1=鼽
thn,1=息
thnp,1=延
ths,1=臬
tht,1=竹
ti,1=秒
tie,1=稍
tief,1=筲
tig,1=衍
tign,1=愆
tim,1=徜
tir,1=箔
tis,1=簿
tj,1=得
tjf,1=香
tjgf,1=笪
tjgh,1=筛
tjh,1=利
tjs,1=梨
tjsy,1=稞
tjt,1=复
tjtg,1=犁
tjtl,1=篮
tjtt,1=馥
tk,1=各
tkgg,1=程
tkh,1=种
tkhm,1=篑
tkk,1=稆
tkm,1=禹
tkw,1=积
tkwy,1=雒
tl,1=备
tla,1=篾
tld,1=血
tlff,1=睾
tlg,1=箅
tlk,1=徊
tln,1=惫
tlng,1=衄
tlo,1=粤
tlq,1=囱
tlqu,1=箩
tlr,1=囟
tlu,1=衅
tlw,1=稷
tm,1=身
tmd,1=射
tmdk,1=躺
tmdr,1=躯
tmds,1=躲
tmdx,1=躬
tmdy,1=秧
tmf,1=笛
tmfk,1=稠
tmg,1=微
tmgk,1=筒
tmgt,1=徽
tmgt,2=徵
tmh,1=币
tmk,1=向
tmo,1=奥
tmq,1=秽
tmqb,1=笕
tn,1=乐
tnb,1=乞
tnf,1=阜
tng,1=笥
tnn,1=乌
tnnb,1=邬
tnnw,1=筷
tnp,1=追
tnpv,1=迄
tnt,1=秘
to,1=秋
toc,1=释
tol,1=番
tolb,1=鄱
toln,1=翻
tom,1=釉
ton,1=悉
tonr,1=簖
tonu,1=愁
tov,1=篓
tox,1=簏
tp,1=乏
tpg,1=稼
tpn,1=管
tpq,1=箢
tpw,1=箜
tq,1=稳
tqd,1=衡
tqg,1=衔
tqi,1=称
tqj,1=徇
tqk,1=笱
tqq,1=移
tqr,1=笏
tqt,1=黎
tqto,1=黧
tqvh,1=筝
tr,1=稀
tra,1=箍
trc,1=箨
trcb,1=筢
trf,1=循
trff,1=箝
trg,1=徨
trgf,1=篁
trh,1=篪
trhy,1=笊
tri,1=穆
trk,1=筘
trng,1=鹅
trq,1=籀
trqq,1=篼
trt,1=稗
try,1=徼
ts,1=条
tsg,1=笨
tsh,1=箱
tsj,1=簟
tsk,1=籁
tskw,1=簌
tsm,1=策
tss,1=篥
tsy,1=秫
tt,1=秩
ttd,1=笑
ttdp,1=篷
ttf,1=筅
ttg,1=御
ttgf,1=笙
ttgy,1=攵
tth,1=筵
tthf,1=笮
ttl,1=篦
ttll,1=丿
ttn,1=秭
ttnt,1=笫
ttny,1=夂
ttt,1=禾
ttth,1=彳
tu,1=冬
tua,1=艨
tuag,1=舡
tub,1=艋
tue,1=箭
tuec,1=艘
tuf,1=笠
tufh,1=科
tufk,1=乎
tug,1=艚
tuh,1=徉
tuhn,1=舻
tui,1=舟
tuie,1=艄
tuj,1=简
tujf,1=箪
tujj,1=螽
tuk,1=税
tukh,1=舯
tul,1=盘
tum,1=舰
tumg,1=舳
tumh,1=舢
tun,1=艉
tup,1=舵
tur,1=舶
turc,1=舨
tus,1=舸
tusg,1=舾
tut,1=艇
tutf,1=舴
tuuf,1=艟
tuuh,1=艏
tuw,1=船
tuwb,1=舱
tuwc,1=般
tuwd,1=磐
tux,1=乘
tuxj,1=剩
tuxx,1=舭
tuy,1=航
tuyr,1=舣
tuyt,1=舫
tuyx,1=舷
tv,1=委
tvd,1=秉
tvg,1=律
tvh,1=箫
tvk,1=笤
tvl,1=簋
tvp,1=逶
tvr,1=魏
tvt,1=笋
tvy,1=很
tw,1=答
twa,1=筏
twb,1=秃
twc,1=役
twd,1=颓
twf,1=符
twg,1=徐
twgf,1=筌
twgg,1=签
twgu,1=簦
twh,1=筱
twi,1=黍
twik,1=黏
twn,1=篌
twy,1=稚
twyn,1=稔
tx,1=每
txe,1=篆
txen,1=胤
txh,1=第
txi,1=系
txt,1=敏
txtg,1=鳘
txti,1=繁
txty,1=後
txx,1=筚
txxn,1=秕
txy,1=毓
ty,1=入
tyg,1=往
tyiu,1=汆
tyk,1=穰
tym,1=稿
tymk,1=篙
tyn,1=篇
tyo,1=籴
tyr,1=篱
tyt,1=彷
tytd,1=簇
tyv,1=稂
u,1=产
ua,1=并
uaf,1=差
uag,1=疟
uagy,1=瓶
uai,1=冻
uajd,1=瘼
uak,1=阈
uam,1=癀
uap,1=迸
uape,1=痨
uaw,1=瘩
uay,1=戕
ub,1=疗
ubd,1=闻
ubi,1=疲
ubk,1=疖
ubq,1=瘾
ubt,1=塑
ubte,1=朔
ubtg,1=癃
ubtp,1=逆
ubts,1=槊
uc,1=痛
uca,1=痉
ucag,1=羟
uceu,1=衮
ucg,1=冯
ucgd,1=闯
uck,1=冶
ucq,1=兖
ucv,1=疤
ucw,1=竣
ucwt,1=羧
ucwy,1=瘫
ucy,1=瘙
ud,1=头
udb,1=郑
udc,1=闳
udd,1=闫
ude,1=疬
udf,1=兰
udg,1=减
udh,1=痞
udhn,1=瘛
udj,1=阉
udn,1=疣
udp,1=送
udpi,1=闼
udu,1=关
udw,1=凑
udy,1=状
ue,1=前
ueg,1=疽
ueh,1=瘦
uejn,1=翦
uejo,1=煎
uejv,1=剪
uek,1=痈
uekd,1=痂
uekw,1=瘸
uep,1=遂
uepc,1=阌
ueq,1=阋
uew,1=毅
uewi,1=瘐
uf,1=斗
ufc,1=阖
ufd,1=疳
ufdu,1=奘
uff,1=闺
uffi,1=痔
ufg,1=壮
ufh,1=癫
ufhw,1=阗
ufn,1=痣
ufnh,1=闱
uft,1=闭
ufw,1=凌
ufy,1=装
ug,1=半
ugb,1=卷
ugd,1=闰
ugd,2=闩
ugdu,1=美
uge,1=靖
ugey,1=瘃
ugg,1=豢
ugh,1=症
ughf,1=眷
ugj,1=养
ugjh,1=判
ugkd,1=痦
ugku,1=痘
ugl,1=盖
ugm,1=病
ugn,1=恙
ugo,1=痖
ugod,1=羹
ugou,1=羔
ugq,1=冽
ugqe,1=疠
ugqg,1=鲞
ugr,1=拳
ugrc,1=叛
ugs,1=桊
ugt,1=羲
ugu,1=羡
uguf,1=瘗
ugv,1=券
ugvf,1=姜
ugvv,1=凄
ugx,1=痍
ugxg,1=冱
ugy,1=誊
ugyg,1=癍
uh,1=着
uhd,1=痱
uhdi,1=阒
uhh,1=癯
uhk,1=丫
uhkg,1=站
uhx,1=疵
ui,1=冰
uii,1=痧
uit,1=阔
uiw,1=瘠
uj,1=间
ujb,1=鄣
uje,1=彰
ujf,1=音
ujfb,1=郸
ujfe,1=冁
ujff,1=童
ujfj,1=单
ujg,1=疸
uji,1=闽
ujj,1=章
ujjd,1=阊
ujl,1=瘟
ujn,1=意
ujq,1=竟
ujqn,1=竭
ujqn,2=羯
ujqu,1=韵
ujqw,1=歆
ujt,1=赣
ujtn,1=戆
ujv,1=韶
uk,1=问
ukb,1=部
ukg,1=瓿
ukh,1=冲
ukj,1=剖
ukk,1=癌
ukkd,1=闾
ukn,1=总
ukq,1=竞
ukqb,1=兑
ukqn,1=况
ul,1=闸
uld,1=痼
ulg,1=兽
ulgj,1=痹
ulj,1=曾
uljy,1=甑
uls,1=阃
ulx,1=瘰
um,1=端
umdo,1=羰
umf,1=凋
umk,1=疝
umm,1=瘿
un,1=闷
una,1=癜
unb,1=阚
ung,1=翔
ung,2=翊
unh,1=羞
unhc,1=瘕
unht,1=爿
unk,1=癖
unr,1=疡
unv,1=羌
unw,1=决
unwe,1=瘳
uo,1=普
uoo,1=痰
uov,1=瘘
uq,1=次
uqa,1=羝
uqaj,1=阍
uqd,1=奖
uqe,1=阎
uqf,1=将
uqg,1=癣
uqi,1=浆
uqj,1=阄
uqm,1=痪
uqn,1=疱
uqs,1=桨
uqsg,1=酱
uqv,1=净
uqwk,1=咨
uqwl,1=盗
uqwm,1=资
uqwn,1=恣
uqwo,1=粢
uqwv,1=姿
uqwy,1=瓷
uqy,1=疚
uqyl,1=瘤
ur,1=交
urb,1=郊
urc,1=瓣
urt,1=效
us,1=亲
usf,1=瘭
usg,1=尊
usgd,1=奠
usgd,2=猷
usgf,1=酋
usgp,1=遵
usgp,2=遒
usi,1=闲
usk,1=疔
uskd,1=疴
uskg,1=辣
uskg,2=竦
uskj,1=瘌
uskm,1=癞
usl,1=阑
usq,1=鹇
usr,1=新
usw,1=凇
ut,1=道
utd,1=疾
utdk,1=痴
utee,1=彦
utem,1=颜
utf,1=冼
uth,1=首
uthf,1=痄
uthg,1=馘
utht,1=夔
uthx,1=瘪
utj,1=痢
utk,1=阁
utn,1=疙
utu,1=疼
utuc,1=瘢
utv,1=痿
uu,1=立
uua,1=瘥
uub,1=阙
uuj,1=阐
uujf,1=瘅
uujk,1=瘴
uujn,1=癔
uuk,1=痒
uukb,1=鄯
uukf,1=善
uukq,1=阅
uus,1=痫
uv,1=妆
uvf,1=妾
uvi,1=痕
uvj,1=兼
uvjg,1=鹣
uvjw,1=歉
uw,1=闪
uwa,1=阀
uwb,1=疮
uwc,1=疫
uwe,1=疹
uwf,1=瘵
uwg,1=痊
uwgd,1=阕
uwj,1=疥
uwl,1=益
uwlj,1=蠲
uwn,1=瘊
uwr,1=疯
uwry,1=飒
uww,1=痤
uwy,1=冷
uwyc,1=羚
uwyg,1=准
ux,1=北
uxb,1=邶
uxe,1=背
uxh,1=弟
uxhg,1=鹈
uxhj,1=剃
uxhp,1=递
uxl,1=冀
uxt,1=凝
uxu,1=辫
uxx,1=兹
uxxb,1=孳
uxxg,1=鹚
uxxn,1=慈
uy,1=六
uyg,1=冫
uygd,1=疰
uygg,1=疒
uygh,1=辛
uygh,2=丬
uyh,1=门
uyi,1=闵
uyiy,1=凉
uyl,1=凛
uym,1=闹
uyn,1=阂
uyt,1=羊
uytu,1=辨
uyu,1=辩
uyv,1=阆
uyw,1=瘁
uywu,1=瘀
uywu,2=阏
uywv,1=闶
uyx,1=痃
v,1=发
va,1=既
vah,1=姬
vaj,1=嫫
vam,1=媾
vaq,1=暨
var,1=妪
vat,1=娆
vb,1=好
vbh,1=即
vbhj,1=媸
vbn,1=她
vbs,1=婀
vbt,1=奶
vc,1=妈
vcb,1=孥
vcc,1=驽
vce,1=努
vck,1=始
vcm,1=帑
vcmw,1=胬
vcn,1=怒
vcnh,1=妤
vcx,1=弩
vcy,1=奴
vd,1=姑
vdf,1=娠
ve,1=姐
vegc,1=媛
veh,1=嫂
vep,1=嫒
vf,1=寻
vfc,1=妓
vff,1=垦
vffg,1=娃
vfh,1=奸
vfk,1=嬉
vfq,1=妩
vfs,1=媒
vfsh,1=孀
vft,1=姥
vfuk,1=嫱
vfy,1=妹
vg,1=建
vga,1=妍
vge,1=婧
vgey,1=婊
vgh,1=嫣
vgk,1=聿
vgo,1=娅
vgv,1=婕
vgx,1=姨
vh,1=肃
vhk,1=肀
vi,1=录
vii,1=隶
vij,1=剥
vip,1=逮
viph,1=嫦
vipi,1=逯
vit,1=妙
vj,1=旭
vjf,1=旮
vjfg,1=娌
vjg,1=妲
vjj,1=娼
vjl,1=媪
vjs,1=巢
vjsj,1=剿
vk,1=如
vkb,1=邵
vkc,1=邕
vke,1=娟
vket,1=劭
vkf,1=召
vkgd,1=娱
vkm,1=娲
vkn,1=恕
vkp,1=迢
vkx,1=絮
vl,1=姻
vlf,1=甾
vlr,1=邋
vlx,1=嫘
vm,1=妯
vmgn,1=娉
vmm,1=姗
vn,1=恳
vne,1=娓
vng,1=娜
vngg,1=彐
vngy,1=艮
vnh,1=媚
vnhe,1=婿
vnhg,1=妞
vnn,1=妃
vnnn,1=巛
vnt,1=刀
vnx,1=妮
vny,1=姒
vo,1=灵
vos,1=嬷
vp,1=退
vpg,1=嫁
vpj,1=婶
vpm,1=帚
vpq,1=婉
vpr,1=嫔
vpt,1=姹
vpv,1=巡
vq,1=婚
vqg,1=鸠
vqi,1=姚
vqk,1=娩
vqy,1=妁
vr,1=婢
vs,1=杂
vsf,1=嫖
vsk,1=嫩
vt,1=九
vtd,1=妖
vtdj,1=娇
vte,1=尹
vtf,1=妊
vtfy,1=姝
vtg,1=姓
vth,1=媳
vtk,1=君
vtkb,1=郡
vtku,1=群
vtl,1=媲
vtnt,1=姊
vtr,1=娥
vu,1=嫌
vua,1=姘
vuj,1=婵
vujh,1=嫜
vur,1=姣
vus,1=娴
vut,1=嫉
vuth,1=馗
vux,1=娣
vv,1=妇
vvv,1=女
vw,1=妗
vx,1=姆
vxx,1=妣
vy,1=妨
vye,1=妫
vyi,1=丸
vyi,2=刃
vyl,1=嬗
vyn,1=忍
vynt,1=妒
vyp,1=婷
vyu,1=嫡
vyv,1=娘
w,1=人
wa,1=代
wad,1=偌
waf,1=仝
waff,1=垡
wah,1=伢
waj,1=借
wajv,1=偃
waq,1=儆
waqj,1=僭
war,1=伛
wat,1=侥
waw,1=供
way,1=伐
waye,1=袋
wayg,1=牮
waym,1=贷
waym,2=岱
wayo,1=黛
wb,1=他
wba,1=戗
wbb,1=仓
wbg,1=仔
wbg,2=佴
wbj,1=创
wbt,1=仍
wc,1=公
wcd,1=颂
wce,1=俑
wcg,1=瓮
wci,1=凤
wcn,1=翁
wct,1=俟
wctg,1=侔
wcu,1=殳
wcw,1=俊
wcwy,1=傩
wcy,1=仅
wd,1=估
wda,1=佐
wde,1=侑
wdf,1=侉
wdg,1=仨
wdj,1=佰
wdjn,1=俺
wdk,1=佑
wdn,1=优
wds,1=倚
wdt,1=做
wdtf,1=俦
wdu,1=僚
wdw,1=傣
wdwg,1=俸
wdy,1=伏
wdyy,1=仗
we,1=佣
web,1=俘
wek,1=伽
weq,1=倪
wet,1=仂
wf,1=什
wfa,1=偾
wfc,1=会
wfcb,1=郐
wfcj,1=刽
wfcy,1=伎
wfd,1=儒
wff,1=佳
wffy,1=侍
wfg,1=仁
wfg,2=仕
wfhg,1=值
wfi,1=祭
wfil,1=畲
wfiu,1=佘
wfk,1=舍
wfkg,1=佶
wfkh,1=舒
wfkk,1=僖
wfn,1=传
wfnh,1=伟
wft,1=佬
wfv,1=佞
wfy,1=付
wg,1=全
wgc,1=倒
wgcf,1=侄
wgd,1=癸
wge,1=愈
wgee,1=毹
wgeg,1=倩
wgej,1=俞
wgep,1=逾
wgeq,1=觎
wgg,1=伍
wgi,1=剑
wgig,1=佥
wgit,1=敛
wgiy,1=俅
wgj,1=便
wgk,1=使
wgka,1=龠
wgkb,1=命
wgkf,1=合
wgkg,1=鸽
wgkl,1=盒
wgkm,1=颌
wgkn,1=翕
wgkr,1=拿
wgku,1=登
wgkw,1=凳
wgkw,2=歙
wgky,1=龛
wgl,1=僵
wgm,1=债
wgmw,1=俩
wgmy,1=俪
wgn,1=兮
wgny,1=佤
wgo,1=俨
wgq,1=例
wgqi,1=夙
wgqt,1=傲
wgs,1=余
wgsc,1=叙
wgsf,1=斜
wgsp,1=途
wgu,1=侠
wh,1=个
whd,1=俳
whf,1=企
whh,1=佧
whjh,1=倬
whm,1=侦
whn,1=候
wht,1=修
whtd,1=倏
whtn,1=悠
whty,1=攸
whw,1=俱
why,1=仆
wi,1=偿
wie,1=俏
wim,1=倘
wipq,1=傥
wiu,1=氽
wj,1=介
wjf,1=俚
wjg,1=但
wjh,1=伸
wjjg,1=倡
wjm,1=偶
wjq,1=偈
wjs,1=倮
wk,1=保
wkg,1=俣
wkh,1=促
wkhh,1=仲
wkk,1=侣
wkkn,1=侃
wksf,1=堡
wkso,1=煲
wl,1=佃
wlge,1=偎
wlge,2=儇
wll,1=儡
wm,1=仙
wmf,1=倜
wmg,1=侗
wmgn,1=俜
wmj,1=侧
wmw,1=催
wn,1=亿
wnb,1=倔
wnd,1=倨
wng,1=伺
wnh,1=假
wnk,1=僻
wnt,1=侯
wnx,1=伲
wny,1=似
wo,1=伙
wov,1=偻
wow,1=俯
wp,1=伫
wpe,1=侬
wpn,1=倌
wpr,1=傧
wpw,1=倥
wpx,1=佗
wq,1=你
wqa,1=低
wqb,1=仰
wqd,1=儋
wqin,1=您
wqiy,1=佻
wqk,1=像
wqkg,1=佝
wqq,1=侈
wqr,1=偬
wr,1=风
wrb,1=爷
wrc,1=爸
wre,1=飕
wrf,1=釜
wrg,1=伯
wrgd,1=凰
wrh,1=飓
wro,1=飚
wrq,1=爹
wrqc,1=傀
wrqn,1=飑
wrr,1=斧
wrt,1=俾
wru,1=父
ws,1=休
wsf,1=傅
wsg,1=体
wsh,1=仃
wsj,1=剁
wsk,1=何
wso,1=僳
wsq,1=鸺
wss,1=傈
wsu,1=朵
wt,1=八
wta,1=伥
wtc,1=仫
wtd,1=侨
wte,1=伤
wtf,1=任
wtfh,1=仟
wtfh,2=仵
wtfm,1=赁
wtfn,1=恁
wtfw,1=凭
wtfy,1=侏
wtg,1=件
wtgy,1=佚
wth,1=亻
wthf,1=作
wtj,1=俐
wtl,1=傻
wtn,1=几
wtnn,1=仡
wtr,1=俄
wtu,1=佟
wtv,1=倭
wtx,1=侮
wu,1=们
wuf,1=伞
wug,1=位
wugb,1=倦
wugh,1=伴
wuh,1=佯
wuj,1=僮
wuk,1=倍
wul,1=僧
wur,1=佼
wv,1=分
wvd,1=颁
wvf,1=坌
wvg,1=健
wvl,1=盆
wvm,1=贫
wvmj,1=岔
wvn,1=仇
wvnu,1=忿
wvp,1=侵
wvt,1=伊
wvy,1=仞
ww,1=从
wwb,1=耸
wwbn,1=伧
wwe,1=俎
wweg,1=佾
wwf,1=坐
wwfc,1=侩
wwfi,1=傺
wwg,1=丛
wwgg,1=俭
wwgh,1=佩
wwgj,1=偷
wwj,1=价
wwk,1=谷
wwkg,1=鹆
wwkw,1=欲
wwn,1=仉
wwnu,1=怂
wwv,1=份
www,1=众
wwwk,1=俗
wwx,1=伦
wwyc,1=伶
wwyo,1=僬
wx,1=化
wxb,1=仑
wxd,1=倾
wxf,1=华
wxj,1=佛
wxm,1=货
wxx,1=偕
wxxn,1=仳
wy,1=信
wyb,1=隽
wyc,1=令
wycb,1=邻
wycm,1=领
wycn,1=翎
wycy,1=瓴
wye,1=依
wyey,1=伪
wyf,1=储
wyfj,1=隼
wyg,1=隹
wygg,1=住
wyi,1=凡
wyiy,1=僦
wyj,1=侪
wyk,1=售
wyn,1=今
wyna,1=偏
wyne,1=衾
wynk,1=含
wynm,1=贪
wynm,2=颔
wynn,1=念
wyo,1=焦
wyog,1=鹪
wyoj,1=劁
wyp,1=停
wyr,1=仪
wyrc,1=禽
wys,1=集
wyt,1=仿
wyu,1=傍
wyv,1=食
wyw,1=伉
wyy,1=雠
x,1=经
xa,1=红
xad,1=绒
xaf,1=缂
xan,1=练
xann,1=绁
xat,1=绕
xb,1=级
xbg,1=弭
xbm,1=绌
xbn,1=弛
xc,1=弘
xcag,1=弪
xcc,1=缀
xcg,1=绎
xck,1=绐
xcn,1=纾
xd,1=顷
xdc,1=绂
xdf,1=缛
xdfn,1=绔
xdg,1=缄
xdj,1=弼
xdl,1=缅
xds,1=绮
xdt,1=绑
xdu,1=缭
xe,1=组
xee,1=绷
xegc,1=缓
xej,1=蠡
xep,1=绶
xet,1=幼
xeu,1=彖
xev,1=绥
xf,1=结
xfc,1=纭
xfg,1=绀
xfgg,1=疆
xfh,1=缜
xfkm,1=缬
xfn,1=续
xfnh,1=纬
xfq,1=鸨
xft,1=绪
xfw,1=绫
xfy,1=纣
xg,1=线
xgb,1=纯
xgf,1=纡
xgj,1=绠
xgl,1=缰
xgm,1=绩
xgo,1=缙
xh,1=引
xhd,1=绯
xhi,1=缈
xhj,1=绰
xi,1=纱
xid,1=颍
xie,1=绡
xim,1=绱
xiu,1=糸
xj,1=旨
xjg,1=缇
xjh,1=绅
xjk,1=弗
xjl,1=缦
xjm,1=费
xjq,1=艴
xjt,1=缆
xjx,1=绲
xk,1=强
xkb,1=缉
xke,1=绢
xkh,1=缱
xkhm,1=缋
xkjg,1=犟
xkjn,1=绳
xkk,1=缲
xkw,1=织
xl,1=细
xlge,1=缳
xln,1=缌
xlx,1=缧
xlxk,1=辔
xm,1=贯
xmf,1=绸
xmm,1=缨
xmr,1=纲
xmw,1=纳
xn,1=纪
xna,1=缗
xng,1=弓
xnh,1=纠
xnhg,1=纽
xnn,1=幻
xnng,1=纟
xnny,1=母
xnw,1=缪
xo,1=继
xoj,1=缠
xot,1=纩
xov,1=缕
xox,1=粥
xoxa,1=彝
